time,Z,N,E
181.8,710826.7750670156,-573705.0751640189,262725.22098364437
182.0,252098.6821430898,-229542.38583398724,341632.8827584931
182.2,-56277.182400681915,4663.619004319526,415532.8680224823
182.4,-205327.82968944858,112168.61143470844,493536.86672348017
182.6,-292997.77258489083,213137.87075430044,547555.2308590709
182.8,-289774.1736004441,273968.61780369567,538167.1456627483
183.0,-407635.6062853798,353480.6921369999,489747.0608546886
183.2,-582767.4427838597,410713.7319572152,399475.6689857976
183.4,-676958.3638663201,417871.4553564936,325308.69272231456
183.6,-761109.6558595226,380833.75069757254,232775.79877420363
183.8,-985216.7693495718,393985.52418586233,98460.81231993788
184.0,-1098012.9220764288,422626.0535982699,-86849.18135038415
184.2,-991672.6654011181,491210.1976881977,-313769.4201831072
184.4,-688794.5311052871,495016.30073710036,-469112.82465741946
184.6,-291919.93123960675,361441.86364743643,-545660.7957064551
184.8,59125.357910034385,99.29273516422242,-517568.1737213771
185.0,284806.42219491873,-444717.0223462845,-490146.6777143366
185.2,289728.9701132115,-739244.3161290583,-416676.4440123272
185.4,214782.46515404308,-777344.2336732768,-415242.9945668262
185.6,126075.72368113189,-721080.9096671743,-342421.67003236566
185.8,-23419.550314030068,-506843.26566415356,-191559.59108940762
186.0,-229196.86344497371,-264301.8670486628,-112235.68728696034
186.2,-331610.87962906744,-106974.51875586243,46916.19342329941
186.4,-282257.9743551629,-74082.41578242448,180950.71373489022
186.6,-341590.2144114419,75270.19243759046,333165.74752364634
186.8,-418209.26118417946,256632.1595389309,505990.3752375749
187.0,-250804.5838545661,442247.0838767163,630095.9515311457
187.2,128263.21114205947,592473.4575040512,625897.6410590684
187.4,381011.22208476573,634588.241591532,607613.9113144911
187.6,447345.95087567414,731935.2624583653,613220.0390900762
187.8,457926.19842393324,842173.1760089024,592531.5800377524
188.0,184337.6218970929,690911.641967012,568515.6659346264
188.2,-113452.69273134432,439169.6990484425,352507.611165605
188.4,-303155.8551072571,215179.8134642344,127969.03957154189
188.6,-332822.45893853897,5566.561422032667,-89010.5078740681
188.8,-346827.4565887353,-234068.56265983317,-230605.8830985083
189.0,-439487.32157586643,-502601.89327390585,-234098.123144726
189.2,-430021.3948975248,-809809.4502126098,-314880.5499552959
189.4,-170393.2792624707,-1047480.9447238708,-366468.2424552337
189.6,106688.37219912026,-1208017.2375663696,-423397.7621546972
189.8,469438.2598570811,-1141129.8138753765,-405450.1884575499
190.0,986429.3352868488,-976697.684216316,-280385.59735799587
190.2,1309482.307556248,-674572.9441384281,-189251.36546978226
190.4,1431436.9076960261,-303821.37012571754,-58537.776920385506
190.6,1477038.568759,84887.79353641193,-2.4650018567328877
190.8,1289564.04582945,386702.6305400186,-30688.14706562964
191.0,903143.7190513362,523356.14182279125,-72894.9928168374
191.2,530003.5800030376,538851.8093287597,-76370.4783659876
191.4,160163.8024647134,680471.4574167386,1694.1327038155184
191.6,-104153.92072621427,645284.4368637209,107169.0619299598
191.8,-275389.6092122812,488033.50115201296,230763.0974702588
192.0,-237977.67105597592,451106.7572643713,270284.9560260357
192.2,-13023.515586157317,381225.2754704124,269523.6063837597
192.4,244082.24318804452,177631.47792957228,156670.11989470967
